
Host: camilladeMacBook-Pro-2.local

Timers On : Wed Jul 20 13:48:23 2022
Timers Off: Wed Jul 20 13:48:31 2022

Wall Time:        8.09 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
SAD Guess                           :      0.800u      0.017s      0.247w     21 calls
HF: Form G                          :      0.167u      0.000s      0.047w    208 calls
JK: D                               :      0.000u      0.000s      0.001w    208 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w    208 calls
JK: JK                              :      0.150u      0.000s      0.044w    208 calls
DFH: compute_JK()                   :      0.150u      0.000s      0.043w    208 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    208 calls
DFH: compute_J                      :      0.017u      0.000s      0.006w    208 calls
DFH: compute_K                      :      0.133u      0.000s      0.034w    208 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.333u      0.033s      0.120w    187 calls
DIISManager::add_entry              :      0.033u      0.017s      0.013w    184 calls
DIISManager::extrapolate            :      0.017u      0.017s      0.009w    184 calls
bMatrix setup                       :      0.017u      0.000s      0.004w    184 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w    184 calls
New vector                          :      0.000u      0.017s      0.002w    184 calls
HF: Form C                          :      0.233u      0.000s      0.047w    187 calls
Grad: V T Perturb                   :      1.483u      0.033s      0.472w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.033u      0.083s      0.641w     24 calls
JKGrad: Amn                         :      0.583u      0.017s      0.181w     24 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     24 calls
JKGrad: AB                          :      0.367u      0.000s      0.101w     24 calls
JKGrad: UV                          :      0.000u      0.000s      0.003w     24 calls
JKGrad: ABx                         :      0.117u      0.000s      0.036w     24 calls
JKGrad: Amnx                        :      0.917u      0.000s      0.291w     24 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.183u      0.000s      0.082w     24 calls
| Libint2ERI::Libint2ERI            :      0.133u      0.000s      0.054w     24 calls
DFH: initialize()                   :      0.883u      0.050s      0.297w     24 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.042w     72 calls
| DFH: AO Construction              :      0.217u      0.000s      0.071w     24 calls
| DFH: AO-Met. Contraction          :      0.117u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.067u      0.000s      0.030w     24 calls
HF: Form S/X                        :      0.017u      0.017s      0.004w     24 calls
HF: Guess                           :      0.833u      0.017s      0.259w     24 calls
| SAD Guess                         :      0.800u      0.017s      0.247w     21 calls
HF: Form G                          :      0.167u      0.000s      0.047w    208 calls
| JK: D                             :      0.000u      0.000s      0.001w    208 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w    208 calls
| JK: JK                            :      0.150u      0.000s      0.044w    208 calls
| | DFH: compute_JK()               :      0.150u      0.000s      0.043w    208 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    208 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.006w    208 calls
| | | DFH: compute_K                :      0.133u      0.000s      0.034w    208 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.333u      0.033s      0.120w    187 calls
| DIISManager::add_entry            :      0.033u      0.017s      0.013w    184 calls
| DIISManager::extrapolate          :      0.017u      0.017s      0.009w    184 calls
| | bMatrix setup                   :      0.017u      0.000s      0.004w    184 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.002w    184 calls
| | New vector                      :      0.000u      0.017s      0.002w    184 calls
HF: Form C                          :      0.233u      0.000s      0.047w    187 calls
Grad: V T Perturb                   :      1.483u      0.033s      0.472w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.033u      0.083s      0.641w     24 calls
| JKGrad: Amn                       :      0.583u      0.017s      0.181w     24 calls
| | Libint2ERI::Libint2ERI          :      0.267u      0.017s      0.090w     48 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     24 calls
| JKGrad: AB                        :      0.367u      0.000s      0.101w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: UV                        :      0.000u      0.000s      0.003w     24 calls
| JKGrad: ABx                       :      0.117u      0.000s      0.036w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: Amnx                      :      0.917u      0.000s      0.291w     24 calls
| | Libint2ERI::Libint2ERI          :      0.267u      0.000s      0.087w     48 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

**************************************************************************************

Host: camilladeMacBook-Pro-2.local

Timers On : Wed Jul 20 14:27:40 2022
Timers Off: Wed Jul 20 14:27:46 2022

Wall Time:        6.82 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.267u      0.000s      0.082w     24 calls
Libint2ERI::Libint2ERI              :      0.833u      0.017s      0.271w    288 calls
DFH: initialize()                   :      0.900u      0.050s      0.286w     24 calls
DFH: AO Construction                :      0.233u      0.000s      0.067w     24 calls
DFH: AO-Met. Contraction            :      0.100u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.067u      0.017s      0.030w     24 calls
HF: Form S/X                        :      0.017u      0.000s      0.004w     24 calls
HF: Guess                           :      0.783u      0.033s      0.260w     24 calls
SAD Guess                           :      0.733u      0.033s      0.248w     21 calls
HF: Form G                          :      0.117u      0.000s      0.046w    208 calls
JK: D                               :      0.000u      0.000s      0.001w    208 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w    208 calls
JK: JK                              :      0.117u      0.000s      0.042w    208 calls
DFH: compute_JK()                   :      0.100u      0.000s      0.042w    208 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    208 calls
DFH: compute_J                      :      0.000u      0.000s      0.006w    208 calls
DFH: compute_K                      :      0.083u      0.000s      0.033w    208 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.317u      0.017s      0.100w    187 calls
DIISManager::add_entry              :      0.000u      0.017s      0.010w    184 calls
DIISManager::extrapolate            :      0.050u      0.000s      0.008w    184 calls
bMatrix setup                       :      0.017u      0.000s      0.003w    184 calls
bMatrix pseudoinverse               :      0.033u      0.000s      0.002w    184 calls
New vector                          :      0.000u      0.000s      0.002w    184 calls
HF: Form C                          :      0.133u      0.000s      0.043w    187 calls
Grad: V T Perturb                   :      1.483u      0.033s      0.471w     24 calls
Grad: S                             :      0.000u      0.000s      0.002w     24 calls
Grad: JK                            :      2.067u      0.033s      0.636w     24 calls
JKGrad: Amn                         :      0.617u      0.000s      0.175w     24 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     24 calls
JKGrad: AB                          :      0.300u      0.017s      0.105w     24 calls
JKGrad: UV                          :      0.017u      0.000s      0.003w     24 calls
JKGrad: ABx                         :      0.150u      0.000s      0.036w     24 calls
JKGrad: Amnx                        :      0.917u      0.017s      0.288w     24 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.267u      0.000s      0.082w     24 calls
| Libint2ERI::Libint2ERI            :      0.167u      0.000s      0.054w     24 calls
DFH: initialize()                   :      0.900u      0.050s      0.286w     24 calls
| Libint2ERI::Libint2ERI            :      0.133u      0.000s      0.041w     72 calls
| DFH: AO Construction              :      0.233u      0.000s      0.067w     24 calls
| DFH: AO-Met. Contraction          :      0.100u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.067u      0.017s      0.030w     24 calls
HF: Form S/X                        :      0.017u      0.000s      0.004w     24 calls
HF: Guess                           :      0.783u      0.033s      0.260w     24 calls
| SAD Guess                         :      0.733u      0.033s      0.248w     21 calls
HF: Form G                          :      0.117u      0.000s      0.046w    208 calls
| JK: D                             :      0.000u      0.000s      0.001w    208 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w    208 calls
| JK: JK                            :      0.117u      0.000s      0.042w    208 calls
| | DFH: compute_JK()               :      0.100u      0.000s      0.042w    208 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    208 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.006w    208 calls
| | | DFH: compute_K                :      0.083u      0.000s      0.033w    208 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.317u      0.017s      0.100w    187 calls
| DIISManager::add_entry            :      0.000u      0.017s      0.010w    184 calls
| DIISManager::extrapolate          :      0.050u      0.000s      0.008w    184 calls
| | bMatrix setup                   :      0.017u      0.000s      0.003w    184 calls
| | bMatrix pseudoinverse           :      0.033u      0.000s      0.002w    184 calls
| | New vector                      :      0.000u      0.000s      0.002w    184 calls
HF: Form C                          :      0.133u      0.000s      0.043w    187 calls
Grad: V T Perturb                   :      1.483u      0.033s      0.471w     24 calls
Grad: S                             :      0.000u      0.000s      0.002w     24 calls
Grad: JK                            :      2.067u      0.033s      0.636w     24 calls
| JKGrad: Amn                       :      0.617u      0.000s      0.175w     24 calls
| | Libint2ERI::Libint2ERI          :      0.233u      0.000s      0.086w     48 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     24 calls
| JKGrad: AB                        :      0.300u      0.017s      0.105w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: UV                        :      0.017u      0.000s      0.003w     24 calls
| JKGrad: ABx                       :      0.150u      0.000s      0.036w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: Amnx                      :      0.917u      0.017s      0.288w     24 calls
| | Libint2ERI::Libint2ERI          :      0.300u      0.017s      0.087w     48 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

**************************************************************************************

Host: camilladeMacBook-Pro-2.local

Timers On : Wed Jul 20 14:29:32 2022
Timers Off: Wed Jul 20 14:29:38 2022

Wall Time:        6.77 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.250u      0.000s      0.084w     24 calls
Libint2ERI::Libint2ERI              :      0.767u      0.000s      0.272w    288 calls
DFH: initialize()                   :      0.900u      0.017s      0.303w     24 calls
DFH: AO Construction                :      0.150u      0.000s      0.069w     24 calls
DFH: AO-Met. Contraction            :      0.100u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.117u      0.000s      0.029w     24 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     24 calls
HF: Guess                           :      0.800u      0.050s      0.251w     24 calls
SAD Guess                           :      0.783u      0.050s      0.239w     21 calls
HF: Form G                          :      0.117u      0.000s      0.048w    208 calls
JK: D                               :      0.000u      0.000s      0.001w    208 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w    208 calls
JK: JK                              :      0.117u      0.000s      0.044w    208 calls
DFH: compute_JK()                   :      0.117u      0.000s      0.044w    208 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    208 calls
DFH: compute_J                      :      0.017u      0.000s      0.006w    208 calls
DFH: compute_K                      :      0.083u      0.000s      0.035w    208 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.017u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.300u      0.017s      0.105w    187 calls
DIISManager::add_entry              :      0.033u      0.017s      0.014w    184 calls
DIISManager::extrapolate            :      0.050u      0.000s      0.010w    184 calls
bMatrix setup                       :      0.000u      0.000s      0.004w    184 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w    184 calls
New vector                          :      0.050u      0.000s      0.003w    184 calls
HF: Form C                          :      0.133u      0.000s      0.043w    187 calls
Grad: V T Perturb                   :      1.583u      0.050s      0.474w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.017u      0.067s      0.631w     24 calls
JKGrad: Amn                         :      0.533u      0.000s      0.174w     24 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     24 calls
JKGrad: AB                          :      0.317u      0.017s      0.101w     24 calls
JKGrad: UV                          :      0.000u      0.000s      0.003w     24 calls
JKGrad: ABx                         :      0.150u      0.000s      0.036w     24 calls
JKGrad: Amnx                        :      0.983u      0.000s      0.288w     24 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.250u      0.000s      0.084w     24 calls
| Libint2ERI::Libint2ERI            :      0.150u      0.000s      0.056w     24 calls
DFH: initialize()                   :      0.900u      0.017s      0.303w     24 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.041w     72 calls
| DFH: AO Construction              :      0.150u      0.000s      0.069w     24 calls
| DFH: AO-Met. Contraction          :      0.100u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.117u      0.000s      0.029w     24 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     24 calls
HF: Guess                           :      0.800u      0.050s      0.251w     24 calls
| SAD Guess                         :      0.783u      0.050s      0.239w     21 calls
HF: Form G                          :      0.117u      0.000s      0.048w    208 calls
| JK: D                             :      0.000u      0.000s      0.001w    208 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w    208 calls
| JK: JK                            :      0.117u      0.000s      0.044w    208 calls
| | DFH: compute_JK()               :      0.117u      0.000s      0.044w    208 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    208 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.006w    208 calls
| | | DFH: compute_K                :      0.083u      0.000s      0.035w    208 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.017u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.300u      0.017s      0.105w    187 calls
| DIISManager::add_entry            :      0.033u      0.017s      0.014w    184 calls
| DIISManager::extrapolate          :      0.050u      0.000s      0.010w    184 calls
| | bMatrix setup                   :      0.000u      0.000s      0.004w    184 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.002w    184 calls
| | New vector                      :      0.050u      0.000s      0.003w    184 calls
HF: Form C                          :      0.133u      0.000s      0.043w    187 calls
Grad: V T Perturb                   :      1.583u      0.050s      0.474w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.017u      0.067s      0.631w     24 calls
| JKGrad: Amn                       :      0.533u      0.000s      0.174w     24 calls
| | Libint2ERI::Libint2ERI          :      0.300u      0.000s      0.087w     48 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     24 calls
| JKGrad: AB                        :      0.317u      0.017s      0.101w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: UV                        :      0.000u      0.000s      0.003w     24 calls
| JKGrad: ABx                       :      0.150u      0.000s      0.036w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: Amnx                      :      0.983u      0.000s      0.288w     24 calls
| | Libint2ERI::Libint2ERI          :      0.217u      0.000s      0.087w     48 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

**************************************************************************************

Host: camilladeMacBook-Pro-2.local

Timers On : Wed Jul 20 14:30:38 2022
Timers Off: Wed Jul 20 14:30:44 2022

Wall Time:        6.80 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.250u      0.000s      0.079w     24 calls
Libint2ERI::Libint2ERI              :      0.817u      0.000s      0.264w    288 calls
DFH: initialize()                   :      1.000u      0.067s      0.333w     24 calls
DFH: AO Construction                :      0.183u      0.017s      0.071w     24 calls
DFH: AO-Met. Contraction            :      0.150u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.050u      0.033s      0.029w     24 calls
HF: Form S/X                        :      0.033u      0.017s      0.004w     24 calls
HF: Guess                           :      0.733u      0.067s      0.247w     24 calls
SAD Guess                           :      0.733u      0.067s      0.235w     21 calls
HF: Form G                          :      0.083u      0.000s      0.048w    208 calls
JK: D                               :      0.000u      0.000s      0.001w    208 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w    208 calls
JK: JK                              :      0.083u      0.000s      0.045w    208 calls
DFH: compute_JK()                   :      0.083u      0.000s      0.044w    208 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    208 calls
DFH: compute_J                      :      0.017u      0.000s      0.006w    208 calls
DFH: compute_K                      :      0.067u      0.000s      0.035w    208 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.017u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.283u      0.017s      0.101w    187 calls
DIISManager::add_entry              :      0.050u      0.017s      0.011w    184 calls
DIISManager::extrapolate            :      0.033u      0.000s      0.008w    184 calls
bMatrix setup                       :      0.017u      0.000s      0.003w    184 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.002w    184 calls
New vector                          :      0.000u      0.000s      0.003w    184 calls
HF: Form C                          :      0.283u      0.000s      0.043w    187 calls
Grad: V T Perturb                   :      1.500u      0.033s      0.473w     24 calls
Grad: S                             :      0.017u      0.000s      0.003w     24 calls
Grad: JK                            :      2.017u      0.067s      0.632w     24 calls
JKGrad: Amn                         :      0.650u      0.000s      0.176w     24 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     24 calls
JKGrad: AB                          :      0.333u      0.017s      0.104w     24 calls
JKGrad: UV                          :      0.000u      0.000s      0.003w     24 calls
JKGrad: ABx                         :      0.133u      0.000s      0.036w     24 calls
JKGrad: Amnx                        :      0.883u      0.000s      0.284w     24 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.250u      0.000s      0.079w     24 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.052w     24 calls
DFH: initialize()                   :      1.000u      0.067s      0.333w     24 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.040w     72 calls
| DFH: AO Construction              :      0.183u      0.017s      0.071w     24 calls
| DFH: AO-Met. Contraction          :      0.150u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.050u      0.033s      0.029w     24 calls
HF: Form S/X                        :      0.033u      0.017s      0.004w     24 calls
HF: Guess                           :      0.733u      0.067s      0.247w     24 calls
| SAD Guess                         :      0.733u      0.067s      0.235w     21 calls
HF: Form G                          :      0.083u      0.000s      0.048w    208 calls
| JK: D                             :      0.000u      0.000s      0.001w    208 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w    208 calls
| JK: JK                            :      0.083u      0.000s      0.045w    208 calls
| | DFH: compute_JK()               :      0.083u      0.000s      0.044w    208 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    208 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.006w    208 calls
| | | DFH: compute_K                :      0.067u      0.000s      0.035w    208 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.017u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.283u      0.017s      0.101w    187 calls
| DIISManager::add_entry            :      0.050u      0.017s      0.011w    184 calls
| DIISManager::extrapolate          :      0.033u      0.000s      0.008w    184 calls
| | bMatrix setup                   :      0.017u      0.000s      0.003w    184 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.002w    184 calls
| | New vector                      :      0.000u      0.000s      0.003w    184 calls
HF: Form C                          :      0.283u      0.000s      0.043w    187 calls
Grad: V T Perturb                   :      1.500u      0.033s      0.473w     24 calls
Grad: S                             :      0.017u      0.000s      0.003w     24 calls
Grad: JK                            :      2.017u      0.067s      0.632w     24 calls
| JKGrad: Amn                       :      0.650u      0.000s      0.176w     24 calls
| | Libint2ERI::Libint2ERI          :      0.317u      0.000s      0.086w     48 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     24 calls
| JKGrad: AB                        :      0.333u      0.017s      0.104w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: UV                        :      0.000u      0.000s      0.003w     24 calls
| JKGrad: ABx                       :      0.133u      0.000s      0.036w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: Amnx                      :      0.883u      0.000s      0.284w     24 calls
| | Libint2ERI::Libint2ERI          :      0.267u      0.000s      0.083w     48 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

**************************************************************************************

Host: camilladeMacBook-Pro-2.local

Timers On : Wed Jul 20 14:32:20 2022
Timers Off: Wed Jul 20 14:32:27 2022

Wall Time:        6.83 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.250u      0.033s      0.081w     24 calls
Libint2ERI::Libint2ERI              :      0.917u      0.067s      0.268w    288 calls
DFH: initialize()                   :      0.867u      0.050s      0.285w     24 calls
DFH: AO Construction                :      0.233u      0.017s      0.070w     24 calls
DFH: AO-Met. Contraction            :      0.100u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.083u      0.000s      0.029w     24 calls
HF: Form S/X                        :      0.017u      0.000s      0.004w     24 calls
HF: Guess                           :      0.800u      0.033s      0.246w     24 calls
SAD Guess                           :      0.750u      0.033s      0.235w     21 calls
HF: Form G                          :      0.150u      0.000s      0.048w    208 calls
JK: D                               :      0.000u      0.000s      0.001w    208 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w    208 calls
JK: JK                              :      0.150u      0.000s      0.044w    208 calls
DFH: compute_JK()                   :      0.150u      0.000s      0.044w    208 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    208 calls
DFH: compute_J                      :      0.017u      0.000s      0.006w    208 calls
DFH: compute_K                      :      0.117u      0.000s      0.035w    208 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.283u      0.017s      0.100w    187 calls
DIISManager::add_entry              :      0.000u      0.017s      0.010w    184 calls
DIISManager::extrapolate            :      0.033u      0.000s      0.008w    184 calls
bMatrix setup                       :      0.017u      0.000s      0.003w    184 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w    184 calls
New vector                          :      0.017u      0.000s      0.002w    184 calls
HF: Form C                          :      0.117u      0.000s      0.043w    187 calls
Grad: V T Perturb                   :      1.567u      0.017s      0.470w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.050u      0.133s      0.660w     24 calls
JKGrad: Amn                         :      0.600u      0.017s      0.176w     24 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     24 calls
JKGrad: AB                          :      0.300u      0.000s      0.103w     24 calls
JKGrad: UV                          :      0.017u      0.017s      0.003w     24 calls
JKGrad: ABx                         :      0.133u      0.000s      0.035w     24 calls
JKGrad: Amnx                        :      0.900u      0.017s      0.285w     24 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.250u      0.033s      0.081w     24 calls
| Libint2ERI::Libint2ERI            :      0.183u      0.033s      0.053w     24 calls
DFH: initialize()                   :      0.867u      0.050s      0.285w     24 calls
| Libint2ERI::Libint2ERI            :      0.150u      0.000s      0.041w     72 calls
| DFH: AO Construction              :      0.233u      0.017s      0.070w     24 calls
| DFH: AO-Met. Contraction          :      0.100u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.083u      0.000s      0.029w     24 calls
HF: Form S/X                        :      0.017u      0.000s      0.004w     24 calls
HF: Guess                           :      0.800u      0.033s      0.246w     24 calls
| SAD Guess                         :      0.750u      0.033s      0.235w     21 calls
HF: Form G                          :      0.150u      0.000s      0.048w    208 calls
| JK: D                             :      0.000u      0.000s      0.001w    208 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w    208 calls
| JK: JK                            :      0.150u      0.000s      0.044w    208 calls
| | DFH: compute_JK()               :      0.150u      0.000s      0.044w    208 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    208 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.006w    208 calls
| | | DFH: compute_K                :      0.117u      0.000s      0.035w    208 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.283u      0.017s      0.100w    187 calls
| DIISManager::add_entry            :      0.000u      0.017s      0.010w    184 calls
| DIISManager::extrapolate          :      0.033u      0.000s      0.008w    184 calls
| | bMatrix setup                   :      0.017u      0.000s      0.003w    184 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.002w    184 calls
| | New vector                      :      0.017u      0.000s      0.002w    184 calls
HF: Form C                          :      0.117u      0.000s      0.043w    187 calls
Grad: V T Perturb                   :      1.567u      0.017s      0.470w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.050u      0.133s      0.660w     24 calls
| JKGrad: Amn                       :      0.600u      0.017s      0.176w     24 calls
| | Libint2ERI::Libint2ERI          :      0.300u      0.017s      0.088w     48 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     24 calls
| JKGrad: AB                        :      0.300u      0.000s      0.103w     24 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.001w     48 calls
| JKGrad: UV                        :      0.017u      0.017s      0.003w     24 calls
| JKGrad: ABx                       :      0.133u      0.000s      0.035w     24 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.001w     48 calls
| JKGrad: Amnx                      :      0.900u      0.017s      0.285w     24 calls
| | Libint2ERI::Libint2ERI          :      0.250u      0.017s      0.084w     48 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

**************************************************************************************

Host: camilladeMacBook-Pro-2.local

Timers On : Wed Jul 20 14:41:49 2022
Timers Off: Wed Jul 20 14:41:56 2022

Wall Time:        6.96 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.283u      0.017s      0.090w     24 calls
Libint2ERI::Libint2ERI              :      0.867u      0.033s      0.275w    288 calls
DFH: initialize()                   :      0.867u      0.033s      0.288w     24 calls
DFH: AO Construction                :      0.267u      0.000s      0.070w     24 calls
DFH: AO-Met. Contraction            :      0.100u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.000u      0.033s      0.030w     24 calls
HF: Form S/X                        :      0.033u      0.000s      0.004w     24 calls
HF: Guess                           :      0.833u      0.000s      0.255w     24 calls
SAD Guess                           :      0.783u      0.000s      0.244w     21 calls
HF: Form G                          :      0.083u      0.000s      0.048w    208 calls
JK: D                               :      0.000u      0.000s      0.001w    208 calls
JK: USO2AO                          :      0.017u      0.000s      0.000w    208 calls
JK: JK                              :      0.067u      0.000s      0.044w    208 calls
DFH: compute_JK()                   :      0.067u      0.000s      0.044w    208 calls
